1970-01-02,0.3539,0.3642,0.3539,0.3642,2825604
1970-01-05,0.3642,0.3704,0.3621,0.3704,2210450
1970-01-06,0.3704,0.3765,0.3704,0.3724,1951169
1970-01-07,0.3724,0.3765,0.3704,0.3704,2728769
1970-01-08,0.3704,0.3735,0.3704,0.3704,2242404
1970-01-09,0.3704,0.3714,0.358,0.3601,3288033
1970-01-12,0.3601,0.3611,0.3416,0.3457,2462441
1970-01-13,0.3436,0.3436,0.3365,0.3395,2380793
1970-01-14,0.3395,0.3405,0.3365,0.3405,1003955
1970-01-15,0.3405,0.3405,0.3365,0.3385,1869642
1970-01-06,0.3704,0.3765,0.3704,0.3724,1951169
1970-01-07,0.3724,0.3765,0.3704,0.3704,2728769
1970-01-08,0.3704,0.3735,0.3704,0.3704,2242404
1970-01-09,0.3704,0.3714,0.358,0.3601,3288033
1970-01-12,0.3601,0.3611,0.3416,0.3457,2462441
1970-01-13,0.3436,0.3436,0.3365,0.3395,2380793
1970-01-02,0.3539,0.3642,0.3539,0.3642,2825604
1970-01-05,0.3642,0.3704,0.3621,0.3704,2210450
1970-01-06,0.3704,0.3765,0.3704,0.3724,1951169
1970-01-07,0.3724,0.3765,0.3704,0.3704,2728769
1970-01-08,0.3704,0.3735,0.3704,0.3704,2242404
1970-01-09,0.3704,0.3714,0.358,0.3601,3288033
1970-01-12,0.3601,0.3611,0.3416,0.3457,2462441
1970-01-13,0.3436,0.3436,0.3365,0.3395,2380793
1970-01-14,0.3395,0.3405,0.3365,0.3405,1003955
1970-01-15,0.3405,0.3405,0.3365,0.3385,1869642
1970-01-06,0.3704,0.3765,0.3704,0.3724,1951169
1970-01-07,0.3724,0.3765,0.3704,0.3704,2728769
1970-01-08,0.3704,0.3735,0.3704,0.3704,2242404
1970-01-09,0.3704,0.3714,0.358,0.3601,3288033
1970-01-12,0.3601,0.3611,0.3416,0.3457,2462441
1970-01-13,0.3436,0.3436,0.3365,0.3395,2380793
